2026-09-21 17:50:25,352 - INFO - fonts.py: 28 [<module>] | Fonts loaded.
2026-09-21 17:50:25,352 - WARNING - settings_manager.py: 138 [get_attribute] | Settings file not created.
2026-09-21 17:50:25,352 - WARNING - settings_manager.py: 138 [get_attribute] | Settings file not created.
2026-09-21 17:50:25,353 - INFO - classes.py: 2467 [<module>] | Created classes.
2026-09-21 17:50:25,382 - INFO - classes.py: 2486 [<module>] | Created reference defaults.
2026-09-21 17:50:25,532 - INFO - levels.py: 318 [<module>] | Level variables created.
2026-09-21 17:50:25,568 - INFO - save_manager.py: 18 [__init__] | Save manager initialized.
2026-09-21 17:50:32,323 - INFO - fonts.py: 28 [<module>] | Fonts loaded.
2026-09-21 17:50:32,323 - WARNING - settings_manager.py: 138 [get_attribute] | Settings file not created.
2026-09-21 17:50:32,323 - WARNING - settings_manager.py: 138 [get_attribute] | Settings file not created.
2026-09-21 17:50:32,324 - INFO - classes.py: 2467 [<module>] | Created classes.
2026-09-21 17:50:32,361 - INFO - classes.py: 2486 [<module>] | Created reference defaults.
2026-09-21 17:50:32,499 - INFO - levels.py: 318 [<module>] | Level variables created.
2026-09-21 17:50:32,528 - INFO - save_manager.py: 18 [__init__] | Save manager initialized.
2026-09-21 17:50:34,227 - INFO - save_manager.py: 83 [save_last_slot] | Saved last slot.
2026-09-21 17:50:34,227 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,241 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,252 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,262 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,273 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,284 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,294 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,305 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,315 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,325 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,335 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,345 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,356 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,366 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,376 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,386 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,395 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,405 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,414 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,424 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,433 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,442 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,452 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,461 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,471 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,481 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,490 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,500 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,509 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,519 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,528 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,538 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,547 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,557 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,566 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,576 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,585 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,594 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,604 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,613 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,623 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,632 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,642 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,651 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,660 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,670 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,680 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:34,689 - INFO - game_screen.py: 311 [update] | Saving last.
